Home Points,Away Points,,Jitter Home Points,Jitter Away Points
109,111,,109,111
103,107,,103,107
93,102,,93,102
93,106,,93,106
90,84,,90,84
81,100,,81,100
97,102,,97,102
85,102,,85,102
100,101,,100,101
82,90,,82,90
98,107,,98,107
91,102,,91,102
94,106,,94,106
102,91,,102,91
88,113,,88,113
95,120,,95,120
96,86,,96,86
84,96,,84,96
93,90,,93,90
90,104,,90,104
93,102,,93,102
114,107,,114,107
101,91,,101,91
90,111,,90,111
95,90,,95,90
90,114,,90,114
97,78,,97,78
78,111,,78,111
116,101,,116,101
92,104,,92,104
87,103,,87,103
114,116,,114,116
91,80,,91,80
135,116,,135,116
104,119,,104,119
116,110,,116,110
87,92,,87,92
104,98,,104,98
99,92,,99,92
102,108,,102,108
98,118,,98,118
121,115,,121,115
87,90,,87,90
100,92,,100,92
92,86,,92,86
111,95,,111,95
95,96,,95,96
114,122,,114,122
80,93,,80,93
101,120,,101,120
69,119,,69,119
96,102,,96,102
107,100,,107,100
103,96,,103,96
94,84,,94,84
105,110,,105,110
106,101,,106,101
103,117,,103,117
122,127,,122,127
78,95,,78,95
88,109,,88,109
95,100,,95,100
84,98,,84,98
111,89,,111,89
98,112,,98,112
87,102,,87,102
105,95,,105,95
105,116,,105,116
74,92,,74,92
100,106,,100,106
89,92,,89,92
106,103,,106,103
106,88,,106,88
95,109,,95,109
92,94,,92,94
111,88,,111,88
84,97,,84,97
117,107,,117,107
104,108,,104,108
99,107,,99,107
96,101,,96,101
99,108,,99,108
110,98,,110,98
105,108,,105,108
83,92,,83,92
81,105,,81,105
97,91,,97,91
86,123,,86,123
97,109,,97,109
97,95,,97,95
107,102,,107,102
91,96,,91,96
82,92,,82,92
96,108,,96,108
101,120,,101,120
84,82,,84,82
88,90,,88,90
88,108,,88,108
81,92,,81,92
87,101,,87,101
103,94,,103,94
109,105,,109,105
102,93,,102,93
105,97,,105,97
99,114,,99,114
86,94,,86,94
94,114,,94,114
98,107,,98,107
79,89,,79,89
94,92,,94,92
95,87,,95,87
89,109,,89,109
87,106,,87,106
93,117,,93,117
87,92,,87,92
103,93,,103,93
87,95,,87,95
